angle,image
8,./data_train_simple/sample71.jpg
8,./data_train_simple/sample72.jpg
-8,./data_train_simple/sample73.jpg
1,./data_train_simple/sample74.jpg
0,./data_train_simple/sample75.jpg
-5,./data_train_simple/sample76.jpg
8,./data_train_simple/sample77.jpg
10,./data_train_simple/sample78.jpg
-8,./data_train_simple/sample79.jpg
8,./data_train_simple/sample80.jpg
-2,./data_train_simple/sample81.jpg
-8,./data_train_simple/sample82.jpg
-10,./data_train_simple/sample83.jpg
-8,./data_train_simple/sample84.jpg
8,./data_train_simple/sample85.jpg
3,./data_train_simple/sample86.jpg
-2,./data_train_simple/sample87.jpg
0,./data_train_simple/sample88.jpg
4,./data_train_simple/sample89.jpg
3,./data_train_simple/sample90.jpg
-8,./data_train_simple/sample91.jpg
7,./data_train_simple/sample92.jpg
3,./data_train_simple/sample93.jpg
-7,./data_train_simple/sample94.jpg
-1,./data_train_simple/sample95.jpg
1,./data_train_simple/sample96.jpg
8,./data_train_simple/sample97.jpg
0,./data_train_simple/sample98.jpg
6,./data_train_simple/sample99.jpg
-8,./data_train_simple/sample100.jpg
-4,./data_train_simple/sample101.jpg
2,./data_train_simple/sample102.jpg
-10,./data_train_simple/sample103.jpg
-2,./data_train_simple/sample104.jpg
-8,./data_train_simple/sample105.jpg
-8,./data_train_simple/sample106.jpg
1,./data_train_simple/sample107.jpg
-5,./data_train_simple/sample108.jpg
-9,./data_train_simple/sample109.jpg
7,./data_train_simple/sample110.jpg
6,./data_train_simple/sample111.jpg
-6,./data_train_simple/sample112.jpg
3,./data_train_simple/sample113.jpg
10,./data_train_simple/sample114.jpg
3,./data_train_simple/sample115.jpg
9,./data_train_simple/sample116.jpg
0,./data_train_simple/sample117.jpg
1,./data_train_simple/sample118.jpg
10,./data_train_simple/sample119.jpg
8,./data_train_simple/sample120.jpg
-9,./data_train_simple/sample121.jpg
3,./data_train_simple/sample122.jpg
3,./data_train_simple/sample123.jpg
-10,./data_train_simple/sample124.jpg
2,./data_train_simple/sample125.jpg
-8,./data_train_simple/sample126.jpg
-7,./data_train_simple/sample127.jpg
8,./data_train_simple/sample128.jpg
-10,./data_train_simple/sample129.jpg
-1,./data_train_simple/sample130.jpg
3,./data_train_simple/sample131.jpg
-2,./data_train_simple/sample132.jpg
1,./data_train_simple/sample133.jpg
2,./data_train_simple/sample134.jpg
-7,./data_train_simple/sample135.jpg
1,./data_train_simple/sample136.jpg
-1,./data_train_simple/sample137.jpg
-9,./data_train_simple/sample138.jpg
2,./data_train_simple/sample139.jpg
4,./data_train_simple/sample140.jpg
5,./data_train_simple/sample141.jpg
-3,./data_train_simple/sample142.jpg
10,./data_train_simple/sample143.jpg
4,./data_train_simple/sample144.jpg
-7,./data_train_simple/sample145.jpg
6,./data_train_simple/sample146.jpg
3,./data_train_simple/sample147.jpg
0,./data_train_simple/sample148.jpg
-2,./data_train_simple/sample149.jpg
2,./data_train_simple/sample150.jpg
-8,./data_train_simple/sample151.jpg
-6,./data_train_simple/sample152.jpg
7,./data_train_simple/sample153.jpg
-5,./data_train_simple/sample154.jpg
-10,./data_train_simple/sample155.jpg
6,./data_train_simple/sample156.jpg
0,./data_train_simple/sample157.jpg
3,./data_train_simple/sample158.jpg
8,./data_train_simple/sample159.jpg
8,./data_train_simple/sample160.jpg
-7,./data_train_simple/sample161.jpg
-2,./data_train_simple/sample162.jpg
-2,./data_train_simple/sample163.jpg
-7,./data_train_simple/sample164.jpg
-10,./data_train_simple/sample165.jpg
9,./data_train_simple/sample166.jpg
-8,./data_train_simple/sample167.jpg
-4,./data_train_simple/sample168.jpg
3,./data_train_simple/sample169.jpg
-1,./data_train_simple/sample170.jpg
-3,./data_train_simple/sample171.jpg
0,./data_train_simple/sample172.jpg
5,./data_train_simple/sample173.jpg
-7,./data_train_simple/sample174.jpg
-2,./data_train_simple/sample175.jpg
3,./data_train_simple/sample176.jpg
-4,./data_train_simple/sample177.jpg
-5,./data_train_simple/sample178.jpg
0,./data_train_simple/sample179.jpg
8,./data_train_simple/sample180.jpg
4,./data_train_simple/sample181.jpg
-7,./data_train_simple/sample182.jpg
0,./data_train_simple/sample183.jpg
7,./data_train_simple/sample184.jpg
9,./data_train_simple/sample185.jpg
-4,./data_train_simple/sample186.jpg
-6,./data_train_simple/sample187.jpg
-4,./data_train_simple/sample188.jpg
-6,./data_train_simple/sample189.jpg
0,./data_train_simple/sample190.jpg
-6,./data_train_simple/sample191.jpg
1,./data_train_simple/sample192.jpg
5,./data_train_simple/sample193.jpg
-1,./data_train_simple/sample194.jpg
-9,./data_train_simple/sample195.jpg
10,./data_train_simple/sample196.jpg
4,./data_train_simple/sample197.jpg
-5,./data_train_simple/sample198.jpg
-3,./data_train_simple/sample199.jpg
-6,./data_train_simple/sample200.jpg
0,./data_train_simple/sample201.jpg
5,./data_train_simple/sample202.jpg
4,./data_train_simple/sample203.jpg
-9,./data_train_simple/sample204.jpg
-7,./data_train_simple/sample205.jpg
10,./data_train_simple/sample206.jpg
6,./data_train_simple/sample207.jpg
7,./data_train_simple/sample208.jpg
-5,./data_train_simple/sample209.jpg
4,./data_train_simple/sample210.jpg
-6,./data_train_simple/sample211.jpg
0,./data_train_simple/sample212.jpg
-9,./data_train_simple/sample213.jpg
0,./data_train_simple/sample214.jpg
8,./data_train_simple/sample215.jpg
9,./data_train_simple/sample216.jpg
9,./data_train_simple/sample217.jpg
-2,./data_train_simple/sample218.jpg
5,./data_train_simple/sample219.jpg
9,./data_train_simple/sample220.jpg
-5,./data_train_simple/sample221.jpg
-2,./data_train_simple/sample222.jpg
-10,./data_train_simple/sample223.jpg
7,./data_train_simple/sample224.jpg
-1,./data_train_simple/sample225.jpg
-10,./data_train_simple/sample226.jpg
-5,./data_train_simple/sample227.jpg
-6,./data_train_simple/sample228.jpg
-5,./data_train_simple/sample229.jpg
-8,./data_train_simple/sample230.jpg
-2,./data_train_simple/sample231.jpg
-5,./data_train_simple/sample232.jpg
-3,./data_train_simple/sample233.jpg
-6,./data_train_simple/sample234.jpg
8,./data_train_simple/sample235.jpg
-2,./data_train_simple/sample236.jpg
0,./data_train_simple/sample237.jpg
1,./data_train_simple/sample238.jpg
-6,./data_train_simple/sample239.jpg
9,./data_train_simple/sample240.jpg
-6,./data_train_simple/sample241.jpg
-3,./data_train_simple/sample242.jpg
-5,./data_train_simple/sample243.jpg
5,./data_train_simple/sample244.jpg
5,./data_train_simple/sample245.jpg
3,./data_train_simple/sample246.jpg
1,./data_train_simple/sample247.jpg
1,./data_train_simple/sample248.jpg
9,./data_train_simple/sample249.jpg
10,./data_train_simple/sample250.jpg
6,./data_train_simple/sample251.jpg
9,./data_train_simple/sample252.jpg
-10,./data_train_simple/sample253.jpg
2,./data_train_simple/sample254.jpg
-4,./data_train_simple/sample255.jpg
-1,./data_train_simple/sample256.jpg
5,./data_train_simple/sample257.jpg
9,./data_train_simple/sample258.jpg
10,./data_train_simple/sample259.jpg
5,./data_train_simple/sample260.jpg
0,./data_train_simple/sample261.jpg
4,./data_train_simple/sample262.jpg
0,./data_train_simple/sample263.jpg
0,./data_train_simple/sample264.jpg
8,./data_train_simple/sample265.jpg
9,./data_train_simple/sample266.jpg
-9,./data_train_simple/sample267.jpg
-7,./data_train_simple/sample268.jpg
7,./data_train_simple/sample269.jpg
6,./data_train_simple/sample270.jpg
-6,./data_train_simple/sample271.jpg
-10,./data_train_simple/sample272.jpg
0,./data_train_simple/sample273.jpg
-5,./data_train_simple/sample274.jpg
-3,./data_train_simple/sample275.jpg
8,./data_train_simple/sample276.jpg
-5,./data_train_simple/sample277.jpg
7,./data_train_simple/sample278.jpg
1,./data_train_simple/sample279.jpg
1,./data_train_simple/sample280.jpg
2,./data_train_simple/sample281.jpg
-4,./data_train_simple/sample282.jpg
7,./data_train_simple/sample283.jpg
7,./data_train_simple/sample284.jpg
-2,./data_train_simple/sample285.jpg
3,./data_train_simple/sample286.jpg
-7,./data_train_simple/sample287.jpg
3,./data_train_simple/sample288.jpg
2,./data_train_simple/sample289.jpg
-3,./data_train_simple/sample290.jpg
6,./data_train_simple/sample291.jpg
5,./data_train_simple/sample292.jpg
-5,./data_train_simple/sample293.jpg
-7,./data_train_simple/sample294.jpg
-7,./data_train_simple/sample295.jpg
4,./data_train_simple/sample296.jpg
3,./data_train_simple/sample297.jpg
-9,./data_train_simple/sample298.jpg
-1,./data_train_simple/sample299.jpg
3,./data_train_simple/sample300.jpg
-4,./data_train_simple/sample301.jpg
6,./data_train_simple/sample302.jpg
-4,./data_train_simple/sample303.jpg
1,./data_train_simple/sample304.jpg
3,./data_train_simple/sample305.jpg
8,./data_train_simple/sample306.jpg
-8,./data_train_simple/sample307.jpg
-2,./data_train_simple/sample308.jpg
1,./data_train_simple/sample309.jpg
6,./data_train_simple/sample310.jpg
2,./data_train_simple/sample311.jpg
4,./data_train_simple/sample312.jpg
7,./data_train_simple/sample313.jpg
0,./data_train_simple/sample314.jpg
9,./data_train_simple/sample315.jpg
-3,./data_train_simple/sample316.jpg
-9,./data_train_simple/sample317.jpg
0,./data_train_simple/sample318.jpg
7,./data_train_simple/sample319.jpg
1,./data_train_simple/sample320.jpg
3,./data_train_simple/sample321.jpg
-6,./data_train_simple/sample322.jpg
-8,./data_train_simple/sample323.jpg
5,./data_train_simple/sample324.jpg
-8,./data_train_simple/sample325.jpg
2,./data_train_simple/sample326.jpg
-8,./data_train_simple/sample327.jpg
10,./data_train_simple/sample328.jpg
-7,./data_train_simple/sample329.jpg
7,./data_train_simple/sample330.jpg
4,./data_train_simple/sample331.jpg
10,./data_train_simple/sample332.jpg
-5,./data_train_simple/sample333.jpg
-6,./data_train_simple/sample334.jpg
1,./data_train_simple/sample335.jpg
10,./data_train_simple/sample336.jpg
-8,./data_train_simple/sample337.jpg
0,./data_train_simple/sample338.jpg
0,./data_train_simple/sample339.jpg
-7,./data_train_simple/sample340.jpg
9,./data_train_simple/sample341.jpg
10,./data_train_simple/sample342.jpg
2,./data_train_simple/sample343.jpg
2,./data_train_simple/sample344.jpg
3,./data_train_simple/sample345.jpg
10,./data_train_simple/sample346.jpg
-2,./data_train_simple/sample347.jpg
-4,./data_train_simple/sample348.jpg
1,./data_train_simple/sample349.jpg
-2,./data_train_simple/sample350.jpg
2,./data_train_simple/sample351.jpg
-5,./data_train_simple/sample352.jpg
-7,./data_train_simple/sample353.jpg
5,./data_train_simple/sample354.jpg
-1,./data_train_simple/sample355.jpg
-5,./data_train_simple/sample356.jpg
-2,./data_train_simple/sample357.jpg
-8,./data_train_simple/sample358.jpg
5,./data_train_simple/sample359.jpg
10,./data_train_simple/sample360.jpg
2,./data_train_simple/sample361.jpg
-10,./data_train_simple/sample362.jpg
-1,./data_train_simple/sample363.jpg
1,./data_train_simple/sample364.jpg
-7,./data_train_simple/sample365.jpg
6,./data_train_simple/sample366.jpg
0,./data_train_simple/sample367.jpg
4,./data_train_simple/sample368.jpg
3,./data_train_simple/sample369.jpg
0,./data_train_simple/sample370.jpg
8,./data_train_simple/sample371.jpg
4,./data_train_simple/sample372.jpg
6,./data_train_simple/sample373.jpg
4,./data_train_simple/sample374.jpg
1,./data_train_simple/sample375.jpg
4,./data_train_simple/sample376.jpg
6,./data_train_simple/sample377.jpg
3,./data_train_simple/sample378.jpg
-6,./data_train_simple/sample379.jpg
3,./data_train_simple/sample380.jpg
4,./data_train_simple/sample381.jpg
0,./data_train_simple/sample382.jpg
7,./data_train_simple/sample383.jpg
-10,./data_train_simple/sample384.jpg
-1,./data_train_simple/sample385.jpg
7,./data_train_simple/sample386.jpg
-10,./data_train_simple/sample387.jpg
0,./data_train_simple/sample388.jpg
3,./data_train_simple/sample389.jpg
-2,./data_train_simple/sample390.jpg
-7,./data_train_simple/sample391.jpg
9,./data_train_simple/sample392.jpg
-6,./data_train_simple/sample393.jpg
-7,./data_train_simple/sample394.jpg
-4,./data_train_simple/sample395.jpg
-1,./data_train_simple/sample396.jpg
2,./data_train_simple/sample397.jpg
-7,./data_train_simple/sample398.jpg
-3,./data_train_simple/sample399.jpg
-2,./data_train_simple/sample400.jpg
10,./data_train_simple/sample401.jpg
-4,./data_train_simple/sample402.jpg
10,./data_train_simple/sample403.jpg
-10,./data_train_simple/sample404.jpg
-6,./data_train_simple/sample405.jpg
-2,./data_train_simple/sample406.jpg
-3,./data_train_simple/sample407.jpg
-3,./data_train_simple/sample408.jpg
8,./data_train_simple/sample409.jpg
-5,./data_train_simple/sample410.jpg
-1,./data_train_simple/sample411.jpg
7,./data_train_simple/sample412.jpg
-6,./data_train_simple/sample413.jpg
9,./data_train_simple/sample414.jpg
-3,./data_train_simple/sample415.jpg
3,./data_train_simple/sample416.jpg
-5,./data_train_simple/sample417.jpg
-4,./data_train_simple/sample418.jpg
1,./data_train_simple/sample419.jpg
7,./data_train_simple/sample420.jpg
4,./data_train_simple/sample421.jpg
5,./data_train_simple/sample422.jpg
-7,./data_train_simple/sample423.jpg
-9,./data_train_simple/sample424.jpg
-8,./data_train_simple/sample425.jpg
8,./data_train_simple/sample426.jpg
-6,./data_train_simple/sample427.jpg
2,./data_train_simple/sample428.jpg
-10,./data_train_simple/sample429.jpg
6,./data_train_simple/sample430.jpg
6,./data_train_simple/sample431.jpg
-9,./data_train_simple/sample432.jpg
6,./data_train_simple/sample433.jpg
-3,./data_train_simple/sample434.jpg
-3,./data_train_simple/sample435.jpg
10,./data_train_simple/sample436.jpg
-8,./data_train_simple/sample437.jpg
10,./data_train_simple/sample438.jpg
4,./data_train_simple/sample439.jpg
-9,./data_train_simple/sample440.jpg
2,./data_train_simple/sample441.jpg
-3,./data_train_simple/sample442.jpg
0,./data_train_simple/sample443.jpg
0,./data_train_simple/sample444.jpg
3,./data_train_simple/sample445.jpg
-4,./data_train_simple/sample446.jpg
-2,./data_train_simple/sample447.jpg
-6,./data_train_simple/sample448.jpg
-10,./data_train_simple/sample449.jpg
1,./data_train_simple/sample450.jpg
2,./data_train_simple/sample451.jpg
-10,./data_train_simple/sample452.jpg
9,./data_train_simple/sample453.jpg
3,./data_train_simple/sample454.jpg
-6,./data_train_simple/sample455.jpg
7,./data_train_simple/sample456.jpg
-6,./data_train_simple/sample457.jpg
-3,./data_train_simple/sample458.jpg
10,./data_train_simple/sample459.jpg
3,./data_train_simple/sample460.jpg
2,./data_train_simple/sample461.jpg
5,./data_train_simple/sample462.jpg
0,./data_train_simple/sample463.jpg
-3,./data_train_simple/sample464.jpg
-3,./data_train_simple/sample465.jpg
4,./data_train_simple/sample466.jpg
9,./data_train_simple/sample467.jpg
0,./data_train_simple/sample468.jpg
2,./data_train_simple/sample469.jpg
8,./data_train_simple/sample470.jpg
8,./data_train_simple/sample471.jpg
-10,./data_train_simple/sample472.jpg
-2,./data_train_simple/sample473.jpg
1,./data_train_simple/sample474.jpg
10,./data_train_simple/sample475.jpg
4,./data_train_simple/sample476.jpg
0,./data_train_simple/sample477.jpg
3,./data_train_simple/sample478.jpg
2,./data_train_simple/sample479.jpg
-7,./data_train_simple/sample480.jpg
8,./data_train_simple/sample481.jpg
5,./data_train_simple/sample482.jpg
-8,./data_train_simple/sample483.jpg
-3,./data_train_simple/sample484.jpg
-6,./data_train_simple/sample485.jpg
2,./data_train_simple/sample486.jpg
6,./data_train_simple/sample487.jpg
1,./data_train_simple/sample488.jpg
-5,./data_train_simple/sample489.jpg
-2,./data_train_simple/sample490.jpg
-4,./data_train_simple/sample491.jpg
9,./data_train_simple/sample492.jpg
9,./data_train_simple/sample493.jpg
9,./data_train_simple/sample494.jpg
-6,./data_train_simple/sample495.jpg
-10,./data_train_simple/sample496.jpg
-1,./data_train_simple/sample497.jpg
7,./data_train_simple/sample498.jpg
-2,./data_train_simple/sample499.jpg
0,./data_train_simple/sample500.jpg
0,./data_train_simple/sample501.jpg
7,./data_train_simple/sample502.jpg
4,./data_train_simple/sample503.jpg
4,./data_train_simple/sample504.jpg
-4,./data_train_simple/sample505.jpg
-7,./data_train_simple/sample506.jpg
9,./data_train_simple/sample507.jpg
-7,./data_train_simple/sample508.jpg
-2,./data_train_simple/sample509.jpg
4,./data_train_simple/sample510.jpg
0,./data_train_simple/sample511.jpg
7,./data_train_simple/sample512.jpg
-6,./data_train_simple/sample513.jpg
10,./data_train_simple/sample514.jpg
2,./data_train_simple/sample515.jpg
10,./data_train_simple/sample516.jpg
1,./data_train_simple/sample517.jpg
2,./data_train_simple/sample518.jpg
-1,./data_train_simple/sample519.jpg
0,./data_train_simple/sample520.jpg
1,./data_train_simple/sample521.jpg
1,./data_train_simple/sample522.jpg
-7,./data_train_simple/sample523.jpg
3,./data_train_simple/sample524.jpg
4,./data_train_simple/sample525.jpg
9,./data_train_simple/sample526.jpg
-7,./data_train_simple/sample527.jpg
4,./data_train_simple/sample528.jpg
-9,./data_train_simple/sample529.jpg
-7,./data_train_simple/sample530.jpg
4,./data_train_simple/sample531.jpg
9,./data_train_simple/sample532.jpg
-4,./data_train_simple/sample533.jpg
-6,./data_train_simple/sample534.jpg
-9,./data_train_simple/sample535.jpg
-7,./data_train_simple/sample536.jpg
0,./data_train_simple/sample537.jpg
-1,./data_train_simple/sample538.jpg
-10,./data_train_simple/sample539.jpg
2,./data_train_simple/sample540.jpg
5,./data_train_simple/sample541.jpg
4,./data_train_simple/sample542.jpg
-5,./data_train_simple/sample543.jpg
5,./data_train_simple/sample544.jpg
-6,./data_train_simple/sample545.jpg
-6,./data_train_simple/sample546.jpg
10,./data_train_simple/sample547.jpg
-9,./data_train_simple/sample548.jpg
6,./data_train_simple/sample549.jpg
-1,./data_train_simple/sample550.jpg
-6,./data_train_simple/sample551.jpg
-3,./data_train_simple/sample552.jpg
2,./data_train_simple/sample553.jpg
8,./data_train_simple/sample554.jpg
9,./data_train_simple/sample555.jpg
9,./data_train_simple/sample556.jpg
-2,./data_train_simple/sample557.jpg
-9,./data_train_simple/sample558.jpg
-1,./data_train_simple/sample559.jpg
-9,./data_train_simple/sample560.jpg
-9,./data_train_simple/sample561.jpg
3,./data_train_simple/sample562.jpg
-1,./data_train_simple/sample563.jpg
0,./data_train_simple/sample564.jpg
-8,./data_train_simple/sample565.jpg
-5,./data_train_simple/sample566.jpg
-9,./data_train_simple/sample567.jpg
9,./data_train_simple/sample568.jpg
-10,./data_train_simple/sample569.jpg
7,./data_train_simple/sample570.jpg
-2,./data_train_simple/sample571.jpg
-8,./data_train_simple/sample572.jpg
0,./data_train_simple/sample573.jpg
-3,./data_train_simple/sample574.jpg
-7,./data_train_simple/sample575.jpg
9,./data_train_simple/sample576.jpg
-7,./data_train_simple/sample577.jpg
4,./data_train_simple/sample578.jpg
5,./data_train_simple/sample579.jpg
8,./data_train_simple/sample580.jpg
-6,./data_train_simple/sample581.jpg
2,./data_train_simple/sample582.jpg
0,./data_train_simple/sample583.jpg
2,./data_train_simple/sample584.jpg
-7,./data_train_simple/sample585.jpg
0,./data_train_simple/sample586.jpg
-9,./data_train_simple/sample587.jpg
10,./data_train_simple/sample588.jpg
8,./data_train_simple/sample589.jpg
2,./data_train_simple/sample590.jpg
-4,./data_train_simple/sample591.jpg
-4,./data_train_simple/sample592.jpg
10,./data_train_simple/sample593.jpg
-3,./data_train_simple/sample594.jpg
6,./data_train_simple/sample595.jpg
10,./data_train_simple/sample596.jpg
-10,./data_train_simple/sample597.jpg
1,./data_train_simple/sample598.jpg
8,./data_train_simple/sample599.jpg
8,./data_train_simple/sample600.jpg
-7,./data_train_simple/sample601.jpg
-1,./data_train_simple/sample602.jpg
-3,./data_train_simple/sample603.jpg
8,./data_train_simple/sample604.jpg
-5,./data_train_simple/sample605.jpg
8,./data_train_simple/sample606.jpg
-4,./data_train_simple/sample607.jpg
-9,./data_train_simple/sample608.jpg
-5,./data_train_simple/sample609.jpg
0,./data_train_simple/sample610.jpg
-3,./data_train_simple/sample611.jpg
-10,./data_train_simple/sample612.jpg
3,./data_train_simple/sample613.jpg
7,./data_train_simple/sample614.jpg
-6,./data_train_simple/sample615.jpg
4,./data_train_simple/sample616.jpg
2,./data_train_simple/sample617.jpg
9,./data_train_simple/sample618.jpg
-7,./data_train_simple/sample619.jpg
2,./data_train_simple/sample620.jpg
-2,./data_train_simple/sample621.jpg
-4,./data_train_simple/sample622.jpg
4,./data_train_simple/sample623.jpg
3,./data_train_simple/sample624.jpg
9,./data_train_simple/sample625.jpg
1,./data_train_simple/sample626.jpg
-10,./data_train_simple/sample627.jpg
-9,./data_train_simple/sample628.jpg
-10,./data_train_simple/sample629.jpg
-5,./data_train_simple/sample630.jpg
-1,./data_train_simple/sample631.jpg
-5,./data_train_simple/sample632.jpg
-3,./data_train_simple/sample633.jpg
2,./data_train_simple/sample634.jpg
-7,./data_train_simple/sample635.jpg
-4,./data_train_simple/sample636.jpg
-5,./data_train_simple/sample637.jpg
0,./data_train_simple/sample638.jpg
2,./data_train_simple/sample639.jpg
9,./data_train_simple/sample640.jpg
7,./data_train_simple/sample641.jpg
-9,./data_train_simple/sample642.jpg
-4,./data_train_simple/sample643.jpg
10,./data_train_simple/sample644.jpg
3,./data_train_simple/sample645.jpg
-1,./data_train_simple/sample646.jpg
10,./data_train_simple/sample647.jpg
9,./data_train_simple/sample648.jpg
6,./data_train_simple/sample649.jpg
6,./data_train_simple/sample650.jpg
4,./data_train_simple/sample651.jpg
-2,./data_train_simple/sample652.jpg
0,./data_train_simple/sample653.jpg
-10,./data_train_simple/sample654.jpg
4,./data_train_simple/sample655.jpg
-10,./data_train_simple/sample656.jpg
-1,./data_train_simple/sample657.jpg
9,./data_train_simple/sample658.jpg
7,./data_train_simple/sample659.jpg
-2,./data_train_simple/sample660.jpg
-2,./data_train_simple/sample661.jpg
9,./data_train_simple/sample662.jpg
2,./data_train_simple/sample663.jpg
6,./data_train_simple/sample664.jpg
-2,./data_train_simple/sample665.jpg
-4,./data_train_simple/sample666.jpg
-2,./data_train_simple/sample667.jpg
9,./data_train_simple/sample668.jpg
-10,./data_train_simple/sample669.jpg
-8,./data_train_simple/sample670.jpg
-1,./data_train_simple/sample671.jpg
2,./data_train_simple/sample672.jpg
0,./data_train_simple/sample673.jpg
-10,./data_train_simple/sample674.jpg
-2,./data_train_simple/sample675.jpg
9,./data_train_simple/sample676.jpg
6,./data_train_simple/sample677.jpg
2,./data_train_simple/sample678.jpg
1,./data_train_simple/sample679.jpg
5,./data_train_simple/sample680.jpg
1,./data_train_simple/sample681.jpg
-9,./data_train_simple/sample682.jpg
9,./data_train_simple/sample683.jpg
2,./data_train_simple/sample684.jpg
5,./data_train_simple/sample685.jpg
5,./data_train_simple/sample686.jpg
-6,./data_train_simple/sample687.jpg
7,./data_train_simple/sample688.jpg
8,./data_train_simple/sample689.jpg
9,./data_train_simple/sample690.jpg
9,./data_train_simple/sample691.jpg
0,./data_train_simple/sample692.jpg
6,./data_train_simple/sample693.jpg
-5,./data_train_simple/sample694.jpg
-10,./data_train_simple/sample695.jpg
0,./data_train_simple/sample696.jpg
-8,./data_train_simple/sample697.jpg
-10,./data_train_simple/sample698.jpg
-10,./data_train_simple/sample699.jpg
-3,./data_train_simple/sample700.jpg
-7,./data_train_simple/sample701.jpg
-1,./data_train_simple/sample702.jpg
0,./data_train_simple/sample703.jpg
-9,./data_train_simple/sample704.jpg
-1,./data_train_simple/sample705.jpg
-5,./data_train_simple/sample706.jpg
3,./data_train_simple/sample707.jpg
-6,./data_train_simple/sample708.jpg
1,./data_train_simple/sample709.jpg
0,./data_train_simple/sample710.jpg
-2,./data_train_simple/sample711.jpg
0,./data_train_simple/sample712.jpg
-3,./data_train_simple/sample713.jpg
7,./data_train_simple/sample714.jpg
-6,./data_train_simple/sample715.jpg
-3,./data_train_simple/sample716.jpg
0,./data_train_simple/sample717.jpg
2,./data_train_simple/sample718.jpg
-6,./data_train_simple/sample719.jpg
3,./data_train_simple/sample720.jpg
-6,./data_train_simple/sample721.jpg
1,./data_train_simple/sample722.jpg
-3,./data_train_simple/sample723.jpg
8,./data_train_simple/sample724.jpg
-3,./data_train_simple/sample725.jpg
-1,./data_train_simple/sample726.jpg
-5,./data_train_simple/sample727.jpg
-7,./data_train_simple/sample728.jpg
9,./data_train_simple/sample729.jpg
-4,./data_train_simple/sample730.jpg
10,./data_train_simple/sample731.jpg
3,./data_train_simple/sample732.jpg
-4,./data_train_simple/sample733.jpg
2,./data_train_simple/sample734.jpg
-8,./data_train_simple/sample735.jpg
10,./data_train_simple/sample736.jpg
-10,./data_train_simple/sample737.jpg
10,./data_train_simple/sample738.jpg
-7,./data_train_simple/sample739.jpg
-6,./data_train_simple/sample740.jpg
8,./data_train_simple/sample741.jpg
9,./data_train_simple/sample742.jpg
-2,./data_train_simple/sample743.jpg
-2,./data_train_simple/sample744.jpg
-6,./data_train_simple/sample745.jpg
-1,./data_train_simple/sample746.jpg
7,./data_train_simple/sample747.jpg
7,./data_train_simple/sample748.jpg
9,./data_train_simple/sample749.jpg
5,./data_train_simple/sample750.jpg
-5,./data_train_simple/sample751.jpg
7,./data_train_simple/sample752.jpg
-2,./data_train_simple/sample753.jpg
4,./data_train_simple/sample754.jpg
-2,./data_train_simple/sample755.jpg
4,./data_train_simple/sample756.jpg
